ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756904,3.10501,0.4124931,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757101,3.105009,0.4306512,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757151,3.105009,0.4362454,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757421,3.10501,0.5045291,,NONE
-1,6.520908,6.489857,4.611071,4.588931,15.98894,0.2757456,3.10501,0.6048025,,NONE
-1,6.5209,6.489864,4.611066,4.588935,15.98894,0.2757452,3.105016,0.7002108,,NONE
-1,6.520895,6.489869,4.611062,4.588939,15.98895,0.2757442,3.105016,0.8050396,,ACCELERATE
-1,6.52089,6.489876,4.611057,4.588944,15.98895,0.275743,3.105016,0.9042028,,ACCELERATE
-1,6.520882,6.489884,4.611052,4.58895,15.98896,0.2757435,3.105016,1.003797,,ACCELERATE
-1,6.520879,6.489885,4.61105,4.588952,15.98896,0.2757444,3.105016,1.104268,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757439,3.105016,1.201834,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105016,1.304086,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105016,1.40082,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105016,1.501787,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,1.600867,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,1.704376,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105016,1.802531,,ACCELERATE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105016,1.90062,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.00322,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105016,2.102118,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.202155,,ACCELERATE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.300791,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105016,2.400452,,ACCELERATE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.500677,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.60437,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.703515,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105016,2.800767,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.903127,,ACCELERATE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,3.001073,,ACCELERATE
-1,6.520904,6.489861,4.611049,4.588953,15.98896,0.2757256,3.145662,3.103493,,ACCELERATE
-1,6.520959,6.489807,4.611039,4.588962,15.98897,0.2757061,3.32624,3.202536,,ACCELERATE
-1,6.521031,6.489737,4.611033,4.588968,15.98898,0.2756979,3.638792,3.30013,,ACCELERATE
-1,6.521173,6.489594,4.611008,4.588994,15.98897,0.2860426,4.09727,3.402267,,ACCELERATE
-1,6.521415,6.489353,4.611074,4.588927,15.98893,0.2778911,4.662509,3.501651,,ACCELERATE
-1,6.521538,6.489231,4.611133,4.588869,15.98886,0.2800723,5.361374,3.603068,,ACCELERATE
-1,6.521689,6.489079,4.611206,4.588795,15.9888,0.2788706,6.163121,3.703455,,ACCELERATE
-1,6.521898,6.48887,4.611275,4.588727,15.98872,0.2793892,7.044156,3.801804,,ACCELERATE
