ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.275701,3.105009,0.420459,,ACCELERATE
-1,6.520922,6.489844,4.61108,4.588921,15.98893,0.27572,3.105009,0.4427563,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.275723,3.10501,0.448072,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757419,3.105011,0.5027721,,NONE
-1,6.520911,6.489855,4.611072,4.58893,15.98894,0.2757457,3.105012,0.601211,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757448,3.105015,0.7022756,,NONE
-1,6.520895,6.48987,4.611062,4.588939,15.98895,0.2757448,3.105015,0.8021396,,NONE
-1,6.52089,6.489878,4.611056,4.588945,15.98895,0.2757438,3.105015,0.9016528,,NONE
-1,6.520882,6.489883,4.611052,4.58895,15.98896,0.2757444,3.105015,1.003343,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757433,3.105015,1.103003,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757439,3.105015,1.20193,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105017,1.30055,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105017,1.400378,,ACCELERATE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757437,3.105017,1.503611,,ACCELERATE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105017,1.601989,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105017,1.70426,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105017,1.802688,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,1.900637,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,2.001001,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.275744,3.105017,2.103695,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105017,2.203162,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,2.300796,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105017,2.401814,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105017,2.502108,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,2.602255,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,2.703036,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105017,2.802963,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105017,2.900323,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105017,3.000745,,ACCELERATE
-1,6.520901,6.489862,4.611048,4.588953,15.98896,0.275726,3.143323,3.101544,,ACCELERATE
-1,6.520959,6.489806,4.611039,4.588962,15.98897,0.2757062,3.322989,3.201301,,ACCELERATE
-1,6.521033,6.489733,4.611033,4.588968,15.98898,0.2756977,3.655153,3.304222,,ACCELERATE
-1,6.521164,6.489602,4.61101,4.588992,15.98897,0.2870328,4.087334,3.400352,,ACCELERATE
-1,6.521415,6.489353,4.611075,4.588926,15.98899,0.2782938,4.67534,3.50364,,RIGHT_ACCELERATE
-1,6.351274,6.670709,4.597389,4.605193,16.00624,0.2799849,5.367558,3.603981,,RIGHT_ACCELERATE
-1,5.820834,7.41573,4.529563,4.716774,16.09993,0.2787392,6.127248,3.700555,,RIGHT_ACCELERATE
19.1653,5.035517,9.277681,4.373107,5.063397,16.34834,0.2793539,7.005761,3.804189,,RIGHT_ACCELERATE
13.40596,4.440953,11.24719,4.10081,5.520189,16.6939,0.2790833,7.89482,3.902894,,RIGHT_ACCELERATE
11.37304,3.967807,12.52594,3.724466,5.956613,17.07407,0.2792292,8.855183,4.001785,,ACCELERATE
10.16425,3.542218,13.35624,3.323797,6.355914,17.45422,0.2791309,9.897619,4.101254,,ACCELERATE
8.896329,3.097866,14.22447,2.906079,6.772599,17.85356,0.2791742,11.04801,4.204414,,ACCELERATE
7.742785,2.674006,14.97338,2.501737,7.166818,18.2332,0.279152,12.17517,4.30059,,LEFT_ACCELERATE
7.792182,2.328763,14.36695,2.08791,7.436897,18.59299,0.2791685,13.44153,4.403131,,LEFT_ACCELERATE
9.267101,2.144087,13.29449,1.812649,7.561853,18.82726,0.2791668,14.71905,4.501401,,LEFT_ACCELERATE
8.916933,1.917001,13.35101,1.598527,7.748193,19.03589,0.2791634,16.11542,4.60524,,ACCELERATE
8.427637,1.680367,13.43362,1.383217,7.939936,19.241,0.2791606,17.4772,4.704064,,LEFT_ACCELERATE
13.38675,1.608549,12.46649,1.243031,7.996613,19.36297,0.2791658,18.8545,4.801537,,LEFT_ACCELERATE
-1,1.87369,10.87113,1.284861,7.919351,19.30817,0.2791891,20.28539,4.901392,,LEFT_ACCELERATE
-1,2.826186,9.181285,1.603976,7.773548,19.00982,0.2792131,21.6811,5.000391,,LEFT_ACCELERATE
-1,5.294833,7.715479,2.302171,7.55668,18.42148,0.2792091,23.06195,5.10417,,LEFT_ACCELERATE
13.2972,10.08587,6.57205,3.300319,7.14376,17.65979,0.2791932,24.29575,5.203872,,LEFT_ACCELERATE
10.21005,15.83747,5.57448,4.448135,6.420479,16.79988,0.2791772,25.46896,5.302934,,LEFT_ACCELERATE
8.383986,17.93985,4.65794,5.534072,5.4248,15.92203,0.2791656,26.65192,5.40216,,ACCELERATE
7.108218,18.13684,3.820161,6.444461,4.357015,15.09609,0.2990158,27.86438,5.501052,,RIGHT_ACCELERATE
6.706534,16.44427,3.159817,-1,3.350606,14.3816,0.3129329,29.19837,5.602958,,RIGHT_ACCELERATE
7.483424,14.06726,2.743768,7.140443,2.623641,13.87576,0.2995297,30.56331,5.700747,,RIGHT_ACCELERATE
15.84533,11.55586,2.707206,7.094764,2.244586,13.61818,0.2921506,32.00633,5.800212,,RIGHT_ACCELERATE
17.68788,9.653775,3.12993,6.972816,2.228165,13.64186,0.2855098,33.54736,5.904639,,RIGHT_ACCELERATE
17.60301,8.421326,3.968937,6.778455,2.475354,13.87669,0.2813533,35.00306,6.004237,,RIGHT_ACCELERATE
