ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756893,3.105009,0.4116381,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757092,3.105009,0.4295186,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757144,3.105009,0.4353826,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757414,3.105009,0.5035635,,NONE
-1,6.520909,6.489857,4.611071,4.588931,15.98894,0.2757453,3.10501,0.6019957,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757452,3.105013,0.7036244,,NONE
-1,6.520895,6.48987,4.611061,4.58894,15.98895,0.2757447,3.105013,0.8022209,,NONE
-1,6.52089,6.489877,4.611056,4.588945,15.98895,0.2757438,3.105013,0.9000956,,NONE
-1,6.520881,6.489883,4.611052,4.58895,15.98896,0.2757444,3.105013,1.003627,,NONE
-1,6.520879,6.489885,4.61105,4.588952,15.98896,0.2757432,3.105013,1.100936,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105013,1.201035,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757429,3.105013,1.300357,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105013,1.400192,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.503142,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757436,3.105013,1.600947,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.701458,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,1.800059,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105013,1.903988,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,2.002073,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105013,2.101861,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105013,2.203172,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105013,2.301319,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,2.403051,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105013,2.501409,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,2.600761,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105013,2.703776,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105013,2.800306,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.900547,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105014,3.0028,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105013,3.103328,,NONE
-1,6.520891,6.489872,4.611049,4.588953,15.98896,0.275732,3.126396,3.203367,,ACCELERATE
-1,6.461487,6.55054,4.608585,4.591762,15.99202,0.2757087,3.275194,3.301174,,RIGHT_ACCELERATE
-1,6.109076,6.980385,4.586785,4.630776,16.0246,0.2756995,3.575686,3.403707,,RIGHT_ACCELERATE
-1,5.59315,7.895505,4.535944,4.762818,16.11721,0.2757103,3.976547,3.500022,,RIGHT_ACCELERATE
-1,5.212551,8.796385,4.437086,4.952213,16.25804,0.2825029,4.499472,3.60067,,RIGHT_ACCELERATE
-1,4.998035,9.201004,4.287416,5.119373,16.41161,0.2782991,5.145203,3.701188,,ACCELERATE
