 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
6.511789,6.925524,4.917311,4.28933,14.86696,0.2791944,43.22867,6.402804,,LEFT_ACCELERATE,
7.27939,5.620948,5.200037,4.078443,14.18056,0.2792142,44.55085,6.503256,,LEFT_ACCELERATE,
8.360095,4.531876,5.689283,3.734628,13.26127,0.2792122,45.71149,6.603179,,LEFT_ACCELERATE,
9.356967,3.666224,6.291908,3.234027,12.16274,0.2791958,46.72399,6.703856,,LEFT_ACCELERATE,
9.914117,3.031757,6.816656,2.664762,11.0224,0.2791803,47.59724,6.800381,,LEFT_ACCELERATE,
9.913277,2.601426,7.212266,2.128209,9.781803,0.2791676,48.51484,6.904008,,ACCELERATE,
9.605933,2.460391,7.416842,1.811776,8.60307,0.2791633,49.42903,7.004174,,ACCELERATE,
9.189516,2.617509,7.498282,1.698481,7.462952,0.2791614,50.34468,7.102355,,RIGHT_ACCELERATE,
8.57062,3.396137,7.449096,1.808193,6.356802,0.2791632,51.29881,7.200457,,ACCELERATE,
7.992083,5.010931,7.278048,2.105392,5.243538,0.2791595,52.28006,7.300088,,LEFT_ACCELERATE,
7.544814,7.119638,6.975657,2.476433,4.070873,0.2791638,53.22387,7.401245,,LEFT_ACCELERATE,
7.314555,7.198872,6.642353,2.773942,2.783469,0.2791817,54.03432,7.503618,,LEFT_ACCELERATE,
7.095782,7.359665,6.4,3.008807,1.447856,0.2791775,54.67129,7.603117,,LEFT_ACCELERATE,
6.680755,8.518031,6.1726,3.332582,0.09673852,0.2791663,55.24735,7.701749,,ACCELERATE,
6.093421,10.3337,5.862727,3.845919,-1.280288,0.279164,55.8533,7.802761,,LEFT_ACCELERATE,
5.588535,10.94325,5.431203,4.362136,-2.617674,0.2791611,56.41882,7.900279,,LEFT_ACCELERATE,
5.305697,9.85115,4.922295,4.70322,-4.071575,0.2791768,56.88368,8.002956,,LEFT_ACCELERATE,
5.412413,8.390784,4.549732,4.812981,-5.548636,0.2791895,57.13305,8.10381,,LEFT_ACCELERATE,
5.650718,7.636207,4.410518,4.838988,-6.978991,0.2791792,57.21376,8.200131,,LEFT_ACCELERATE,
5.743889,7.431442,4.368381,4.857839,-8.497171,0.2791692,57.24554,8.302103,,ACCELERATE,
5.810505,7.296942,4.325723,4.887113,-9.995314,0.2791618,57.28033,8.402726,,LEFT_ACCELERATE,
5.921925,7.134936,4.323018,4.881805,-11.4526,0.2791608,57.27932,8.500572,,ACCELERATE,
5.905438,7.152703,4.311395,4.893458,-12.96054,0.2791608,57.29181,8.601815,,ACCELERATE,
5.869553,7.191393,4.286106,4.918813,-14.47354,0.279161,57.31736,8.703405,,LEFT_ACCELERATE,
6.026947,6.987623,4.27812,4.921954,-15.91886,0.2791594,57.32014,8.800466,,LEFT_ACCELERATE,
6.197267,6.806594,4.324305,4.876499,-17.42644,0.2791616,57.27411,8.901734,,ACCELERATE,
6.264671,6.74047,4.364187,4.836826,-18.8985,0.2791599,57.23468,9.0006,,LEFT_ACCELERATE,
6.646954,6.380538,4.450394,4.765497,-20.38006,0.2791619,57.1511,9.100286,,LEFT_ACCELERATE,
7.406057,5.707582,4.716224,4.579615,-21.89297,0.2791705,56.92006,9.203194,,LEFT_ACCELERATE,
7.750957,5.308854,5.049591,4.292013,-23.33926,0.2791654,56.61318,9.302478,,ACCELERATE,
7.715871,5.188922,5.313174,3.98123,-24.82622,0.2791618,56.30557,9.404426,,LEFT_ACCELERATE,
7.809771,5.023244,5.523796,3.741658,-26.25011,0.2791618,55.98855,9.502395,,LEFT_ACCELERATE,
8.294233,4.501166,5.825469,3.471982,-27.71293,0.2791759,55.5219,9.60568,,LEFT_ACCELERATE,
8.897048,3.898614,6.211288,3.135596,-29.02554,0.279178,54.91502,9.702965,,LEFT_ACCELERATE,
9.063709,3.539073,6.53346,2.760601,-30.31074,0.2791713,54.21733,9.801183,,LEFT_ACCELERATE,
9.171368,3.237505,6.80982,2.455841,-31.62004,0.2791665,53.44761,9.903214,,LEFT_ACCELERATE,
9.369921,2.891143,7.082594,2.163494,-32.85202,0.2791689,52.58055,10.00445,,LEFT_ACCELERATE,
9.134948,2.86106,7.249403,1.958427,-34.0207,0.2791636,51.71064,10.10227,,ACCELERATE,
8.702809,3.230008,7.284325,1.927485,-35.20063,0.2791623,50.85755,10.20003,,ACCELERATE,
8.179884,4.296183,7.199129,2.081465,-36.42885,0.2791609,49.98551,10.30116,,LEFT_ACCELERATE,
7.792388,5.761774,7.008329,2.338786,-37.64005,0.279163,49.04992,10.404,,LEFT_ACCELERATE,
7.624928,6.080254,6.801083,2.536948,-38.68565,0.2791848,48.03635,10.502,,LEFT_ACCELERATE,
