ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756916,3.10501,0.4133525,,NONE
-1,6.520923,6.489844,4.611079,4.588922,15.98893,0.275711,3.105009,0.4316626,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757164,3.105009,0.4376805,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757415,3.105009,0.5017719,,ACCELERATE
-1,6.520902,6.489863,4.611067,4.588934,15.98895,0.2757456,3.10501,0.6025445,,LEFT_ACCELERATE
-1,6.520875,6.489892,4.611048,4.588953,15.98896,0.2757441,3.105014,0.7051488,,LEFT_ACCELERATE
-1,6.520847,6.489916,4.61103,4.588972,15.98898,0.275744,3.105018,0.8016489,,LEFT_ACCELERATE
-1,6.520823,6.489944,4.611012,4.58899,15.989,0.2757436,3.105021,0.90163,,LEFT_ACCELERATE
-1,6.520809,6.489955,4.611003,4.588998,15.98901,0.275744,3.105021,1.001132,,ACCELERATE
-1,6.520807,6.489957,4.611001,4.589,15.98901,0.2757431,3.105021,1.104522,,ACCELERATE
-1,6.520806,6.489956,4.611002,4.588999,15.98901,0.2757435,3.105021,1.203192,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757436,3.105021,1.301554,,ACCELERATE
-1,6.520807,6.489959,4.611001,4.589,15.98901,0.2757438,3.105021,1.40248,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757437,3.105021,1.503932,,LEFT_ACCELERATE
-1,6.520807,6.489958,4.611002,4.588999,15.98901,0.2757434,3.105026,1.601254,,LEFT_ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757429,3.105026,1.701256,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757436,3.105026,1.803345,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757433,3.105026,1.903957,,LEFT_ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757429,3.105026,2.000676,,LEFT_ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.275743,3.105026,2.101358,,LEFT_ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757439,3.105026,2.202579,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757438,3.105026,2.302731,,ACCELERATE
-1,6.520807,6.489959,4.611001,4.589,15.98901,0.275744,3.105026,2.400967,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.275743,3.105026,2.501971,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757434,3.105026,2.601705,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757439,3.105027,2.704006,,ACCELERATE
-1,6.520807,6.489957,4.611002,4.588999,15.98901,0.2757437,3.105027,2.802432,,ACCELERATE
-1,6.520806,6.489958,4.611001,4.589,15.98901,0.2757434,3.105027,2.903738,,ACCELERATE
-1,6.520806,6.489956,4.611002,4.588999,15.98901,0.275743,3.105027,3.000087,,ACCELERATE
-1,6.520846,6.489918,4.611,4.589001,15.98901,0.2757173,3.171809,3.10454,,ACCELERATE
-1,6.520906,6.489859,4.610991,4.58901,15.98902,0.2757022,3.385917,3.202018,,ACCELERATE
-1,6.520983,6.489782,4.610986,4.589015,15.98903,0.2756972,3.747973,3.303265,,ACCELERATE
-1,6.52115,6.489615,4.610986,4.589015,15.98903,0.2773476,4.21919,3.40122,,ACCELERATE
-1,6.521293,6.489475,4.611028,4.588974,15.98897,0.2814312,4.817661,3.500969,,RIGHT_ACCELERATE
-1,6.35345,6.668205,4.597413,4.605094,16.00629,0.2785648,5.539948,3.601847,,RIGHT_ACCELERATE
-1,6.071851,7.013603,4.537873,4.67703,16.0729,0.2795686,6.356915,3.701745,,ACCELERATE
-1,5.97808,7.11936,4.469179,4.745903,16.14102,0.2789645,7.260968,3.800607,,ACCELERATE
-1,5.889087,7.218863,4.40208,4.812929,16.20763,0.2792682,8.269579,3.901394,,ACCELERATE
-1,5.800861,7.317578,4.335793,4.879171,16.27388,0.279108,9.341235,4.000782,,ACCELERATE
-1,5.710622,7.418598,4.26814,4.946796,16.34391,0.2791851,10.51464,4.103054,,ACCELERATE
-1,5.61132,7.529795,4.193769,5.021147,16.41579,0.2791527,11.74259,4.204629,,ACCELERATE
-1,5.589788,7.519132,4.127534,5.081487,16.47777,0.2791685,12.97579,4.302353,,LEFT_ACCELERATE
-1,5.855697,7.151028,4.127442,5.072611,16.47034,0.2791587,14.28286,4.402359,,LEFT_ACCELERATE
-1,5.94917,7.051363,4.16523,5.035219,16.43365,0.2791628,15.63896,4.503048,,ACCELERATE
-1,5.989911,7.011493,4.194092,5.00635,16.40509,0.2791593,17.00799,4.602078,,ACCELERATE
-1,6.024045,6.978095,4.218393,4.98204,16.38021,0.2791596,18.49315,4.707108,,ACCELERATE
-1,6.052542,6.950181,4.238574,4.961855,16.36085,0.2791587,19.8504,4.80133,,ACCELERATE
-1,6.079636,6.923625,4.257671,4.942754,16.34185,0.2791581,21.34802,4.903685,,ACCELERATE
-1,6.10344,6.90028,4.274395,4.926029,16.32515,0.2791581,22.78315,5.000478,,ACCELERATE
-1,6.126647,6.877515,4.290664,4.90976,16.3089,0.2791594,24.26548,5.100008,,ACCELERATE
-1,6.149187,6.855406,4.306433,4.893992,16.29311,0.2791597,25.76761,5.20086,,ACCELERATE
-1,6.170891,6.834108,4.321601,4.878825,16.278,0.2791611,27.24902,5.300318,,ACCELERATE
-1,6.192613,6.812799,4.336766,4.86366,16.26286,0.2791592,28.76378,5.402017,,ACCELERATE
-1,6.213634,6.792166,4.351434,4.848993,16.24816,0.2791601,30.25315,5.502009,,ACCELERATE
-1,6.234303,6.771892,4.365848,4.834581,16.23373,0.2791602,31.72705,5.600964,,ACCELERATE
18.89426,6.236293,6.77916,4.380678,4.819752,16.21888,0.2791598,33.25257,5.703384,,ACCELERATE
17.41166,6.167245,6.946409,4.395074,4.805357,16.20456,0.2791599,34.72715,5.802383,,ACCELERATE
15.90333,6.00662,7.357183,4.409699,4.790733,16.18992,0.2791602,36.23702,5.903752,,ACCELERATE
14.44306,5.769993,8.186633,4.409445,4.7891,16.17564,0.2791595,37.70667,6.002422,,LEFT_ACCELERATE
13.45436,5.578014,9.218546,4.37263,4.834747,16.1369,0.2791597,39.1783,6.101284,,LEFT_ACCELERATE
13.61422,5.635753,8.912507,4.360762,4.841754,15.96974,0.279174,40.67743,6.202735,,LEFT_ACCELERATE
14.16937,5.874483,8.127089,4.441216,4.758469,15.62845,0.279179,42.10068,6.301206,,LEFT_ACCELERATE
13.67447,5.880942,8.538043,4.543363,4.65658,15.16274,0.2791686,43.56421,6.404366,,LEFT_ACCELERATE
12.29305,5.590878,-1,4.542805,4.68363,14.7115,0.2791637,44.98468,6.504439,,ACCELERATE
10.90651,5.201093,-1,4.437374,4.874665,14.28509,0.2791597,46.38409,6.602658,,LEFT_ACCELERATE
10.10431,4.880812,-1,4.250945,5.126069,13.82,0.2791624,47.77132,6.700943,,LEFT_ACCELERATE
10.10994,4.718965,-1,4.044524,5.291934,13.20376,0.2791794,49.13411,6.801569,,LEFT_ACCELERATE
10.60927,4.732974,-1,3.933157,5.338938,12.397,0.2791884,50.39732,6.902478,,LEFT_ACCELERATE
10.49228,4.659005,-1,3.884074,5.394006,11.49081,0.279177,51.5386,7.00043,,LEFT_ACCELERATE
9.788642,4.429373,-1,3.78006,5.557634,10.50044,0.2791696,52.69198,7.102526,,LEFT_ACCELERATE
9.875123,4.311146,-1,3.644192,5.67536,9.428669,0.2791769,53.75419,7.204016,,LEFT_ACCELERATE
10.77054,4.405176,-1,3.579764,5.666973,8.275234,0.2791913,54.62126,7.301166,,LEFT_ACCELERATE
11.23585,4.467635,14.74539,3.597778,5.638368,6.988708,0.2791807,55.37532,7.401439,,LEFT_ACCELERATE
10.82176,4.364223,14.85922,3.571391,5.691209,5.665478,0.2791701,56.07101,7.501838,,LEFT_ACCELERATE
11.33231,4.342805,12.98422,3.524248,5.725214,4.294426,0.2791707,56.68128,7.602738,,LEFT_ACCELERATE
11.93195,4.327043,12.10666,3.497962,5.749802,2.917011,0.2791705,57.15869,7.700681,,LEFT_ACCELERATE
11.04165,4.077652,12.90089,3.418456,5.89874,1.475227,0.2791641,57.63433,7.802625,,ACCELERATE
9.677515,3.689985,14.12222,3.233044,6.213742,0.06998745,0.279162,58.12585,7.902582,,ACCELERATE
8.465126,3.240753,15.08672,2.941487,6.65071,-1.328524,0.2791596,58.62715,8.002327,,LEFT_ACCELERATE
8.647019,2.886453,14.23914,2.585969,6.957766,-2.751186,0.2791646,59.06176,8.1023,,LEFT_ACCELERATE
11.83987,2.742413,12.40916,2.306582,7.056005,-4.207461,0.2791796,59.33012,8.201939,,LEFT_ACCELERATE
17.56423,2.720593,11.46367,2.160369,7.109018,-5.720054,0.2791717,59.4584,8.303952,,LEFT_ACCELERATE
18.36892,2.625314,11.43826,2.061467,7.19452,-7.192193,0.279166,59.55552,8.403017,,ACCELERATE
17.81525,2.488727,11.53048,1.942461,7.306981,-8.687996,0.2791594,59.67189,8.503748,,LEFT_ACCELERATE
-1,2.529525,10.89793,1.8745,7.336115,-10.14404,0.2791632,59.72685,8.601644,,LEFT_ACCELERATE
-1,2.649006,10.45967,1.89637,7.304341,-11.61039,0.2791618,59.70209,8.700127,,ACCELERATE
-1,2.681664,10.4217,1.918682,7.281967,-13.11654,0.2791604,59.68104,8.801259,,ACCELERATE
19.54692,2.720646,10.31918,1.931119,7.26895,-14.64906,0.2791602,59.6674,8.904152,,LEFT_ACCELERATE
19.76357,2.908436,9.892759,1.993038,7.211355,-16.11597,0.2791601,59.60461,9.002748,,LEFT_ACCELERATE
18.42041,3.018032,9.788321,2.065592,7.139151,-17.57168,0.2791601,59.53292,9.100599,,ACCELERATE
17.0801,3.129325,9.747501,2.133718,7.072156,-19.1041,0.2791598,59.46407,9.203585,,LEFT_ACCELERATE
15.8671,3.267885,9.816674,2.212437,6.995893,-20.56888,0.2791603,59.38683,9.302063,,ACCELERATE
14.46348,3.371439,10.17553,2.287641,6.921555,-22.06146,0.2791612,59.31148,9.402396,,LEFT_ACCELERATE
14.30035,3.604404,10.05574,2.410933,6.824181,-23.52187,0.27916,59.19027,9.500834,,LEFT_ACCELERATE
13.54216,3.763923,10.37402,2.590283,6.646685,-25.04078,0.279161,58.99227,9.603687,,ACCELERATE
12.52524,3.766702,11.36062,2.6907,6.519493,-26.47816,0.2791608,58.79523,9.701098,,LEFT_ACCELERATE
12.81241,3.964059,10.91574,2.806704,6.404948,-27.93915,0.2791674,58.50034,9.801296,,LEFT_ACCELERATE
