ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756913,3.105009,0.4131022,,NONE
-1,6.520921,6.489842,4.61108,4.588921,15.98893,0.2757103,3.105009,0.4308288,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757149,3.105009,0.4359613,,NONE
-1,6.520917,6.489851,4.611075,4.588926,15.98893,0.275742,3.105011,0.5047436,,NONE
-1,6.520912,6.489856,4.611072,4.58893,15.98894,0.2757455,3.105011,0.6025712,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757448,3.105012,0.7007778,,NONE
-1,6.520895,6.48987,4.611061,4.58894,15.98895,0.2757441,3.105012,0.8019323,,NONE
-1,6.52089,6.489877,4.611056,4.588945,15.98895,0.2757442,3.105012,0.9020038,,NONE
-1,6.520881,6.489883,4.611052,4.58895,15.98896,0.2757441,3.105012,1.004045,,NONE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757436,3.105017,1.104033,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105017,1.202142,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105017,1.300613,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,1.403332,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105017,1.504441,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105017,1.600685,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,1.702886,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,1.803351,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,1.903317,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105017,2.003335,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,2.101301,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105017,2.201838,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105017,2.302855,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105017,2.402933,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105017,2.503282,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105017,2.604018,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105017,2.700359,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105017,2.800145,,ACCELERATE
