ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
13.40517,3.318699,10.79683,2.408187,6.794975,18.19337,0.2791606,34.26401,6.202618,,ACCELERATE
11.92436,3.257845,12.17933,2.384525,6.818648,18.21739,0.2791604,35.77517,6.304083,,ACCELERATE
10.52855,3.12547,-1,2.353661,6.853423,18.24417,0.2791617,37.26706,6.404258,,LEFT_ACCELERATE
10.21207,3.087907,-1,2.326259,6.878644,18.2167,0.279161,38.71202,6.50136,,LEFT_ACCELERATE
11.17631,3.263609,-1,2.373974,6.825372,18.03237,0.2791828,40.18239,6.601069,,LEFT_ACCELERATE
12.41837,3.641618,11.51883,2.552871,6.673482,17.64469,0.2791798,41.65019,6.703222,,LEFT_ACCELERATE
12.3068,3.840703,11.77446,2.731765,6.481292,17.17437,0.2791719,43.02318,6.800705,,LEFT_ACCELERATE
11.00803,3.770767,-1,2.827937,6.369452,16.68852,0.2791642,44.44096,6.90134,,ACCELERATE
9.535197,3.545461,-1,2.812905,6.422509,16.21368,0.27916,45.89838,7.004258,,ACCELERATE
8.131038,3.2271,-1,2.698189,6.636462,15.77876,0.2791613,47.27681,7.101298,,ACCELERATE
6.658099,2.80172,-1,2.458454,7.041789,15.32838,0.2791612,48.73041,7.203464,,LEFT_ACCELERATE
5.72366,2.401459,-1,2.147197,7.454212,14.84649,0.2791621,50.12983,7.302894,,LEFT_ACCELERATE
5.449924,2.12389,-1,1.864555,7.661818,14.24205,0.2791792,51.44166,7.400068,,LEFT_ACCELERATE
5.998458,2.033024,-1,1.671181,7.662902,13.39941,0.2792054,52.71107,7.502741,,LEFT_ACCELERATE
7.038613,2.115617,-1,1.651951,7.581738,12.39016,0.2791977,53.77945,7.601742,,LEFT_ACCELERATE
7.639811,2.231011,-1,1.702514,7.506984,11.2409,0.2791837,54.73764,7.702373,,LEFT_ACCELERATE
7.108647,2.197783,-1,1.728295,7.517234,10.07115,0.2791703,55.63004,7.801179,,ACCELERATE
6.022985,1.990229,-1,1.641438,7.693557,8.880613,0.2791624,56.54967,7.902193,,LEFT_ACCELERATE
5.803673,1.841055,-1,1.507237,7.813138,7.681073,0.279165,57.3784,8.000194,,LEFT_ACCELERATE
6.554575,1.848808,-1,1.447835,7.799992,6.35233,0.2791834,58.07528,8.101172,,LEFT_ACCELERATE
7.087004,1.892612,17.32405,1.461238,7.764447,4.943923,0.2791767,58.62499,8.202811,,LEFT_ACCELERATE
6.449029,1.810769,17.35339,1.435286,7.827622,3.538436,0.2791674,59.11914,8.302855,,LEFT_ACCELERATE
6.343108,1.727852,16.20878,1.367561,7.894341,2.153394,0.2791662,59.55157,8.40034,,LEFT_ACCELERATE
8.410349,1.81657,13.68924,1.36707,7.846825,0.6360649,0.2791827,59.84533,8.50435,,LEFT_ACCELERATE
14.2107,2.008631,12.1713,1.459437,7.73877,-0.803594,0.2791793,59.94695,8.601414,,LEFT_ACCELERATE
-1,2.118648,11.64571,1.557566,7.641204,-2.295107,0.2791689,59.97807,8.701601,,LEFT_ACCELERATE
-1,2.133729,11.42213,1.580245,7.620701,-3.778488,0.2791623,60.00879,8.80123,,LEFT_ACCELERATE
-1,2.318973,10.65808,1.633111,7.566968,-5.262522,0.279163,59.96298,8.900976,,LEFT_ACCELERATE
-1,2.49086,10.36063,1.725036,7.476923,-6.791752,0.279162,59.87288,9.003834,,ACCELERATE
-1,2.590064,10.26692,1.794116,7.407805,-8.268967,0.2791619,59.80424,9.10312,,ACCELERATE
-1,2.676292,10.17374,1.85107,7.351134,-9.773916,0.27916,59.74707,9.204231,,LEFT_ACCELERATE
-1,2.946401,9.654835,1.947667,7.271846,-11.23568,0.2791604,59.65009,9.302637,,LEFT_ACCELERATE
-1,3.316919,9.197006,2.124192,7.116658,-12.74703,0.2791612,59.47605,9.404795,,ACCELERATE
-1,3.574918,8.982823,2.288974,6.952045,-14.17017,0.2791603,59.31488,9.500952,,ACCELERATE
-1,3.821133,8.779627,2.447031,6.793854,-15.64136,0.27916,59.15773,9.600282,,ACCELERATE
-1,4.038061,8.614246,2.599006,6.638024,-17.14374,0.2791604,59.00669,9.701654,,RIGHT_ACCELERATE
19.2474,4.008622,8.781626,2.685358,6.527401,-18.61719,0.2791614,58.91672,9.800802,,RIGHT_ACCELERATE
17.56457,4.079747,8.8528,2.745583,6.465135,-20.12331,0.2791606,58.85532,9.902003,,ACCELERATE
16.0652,4.155638,9.070421,2.809601,6.401123,-21.61178,0.2791601,58.79094,10.00203,,ACCELERATE
14.58415,4.158615,9.57089,2.875723,6.33503,-23.08007,0.2791611,58.72496,10.1007,,ACCELERATE
13.03493,4.062059,10.67744,2.932196,6.269317,-24.61417,0.2791585,58.65425,10.2038,,ACCELERATE
11.55543,3.879984,-1,2.933646,6.265184,-26.09483,0.2791605,58.58483,10.30331,,ACCELERATE
10.11117,3.6231,-1,2.865851,6.369781,-27.53375,0.2791596,58.51663,10.40002,,ACCELERATE
8.615595,3.277058,-1,2.712913,6.6013,-29.08826,0.2791603,58.43976,10.50451,,LEFT_ACCELERATE
