ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756921,3.105009,0.4137546,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757121,3.105009,0.4328687,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757167,3.105009,0.4379829,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757415,3.105009,0.5016463,,NONE
-1,6.520908,6.489857,4.611071,4.588931,15.98894,0.2757457,3.105011,0.6047937,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757446,3.105011,0.7012919,,NONE
-1,6.520895,6.489871,4.611061,4.58894,15.98895,0.2757446,3.105011,0.8020962,,NONE
-1,6.52089,6.489878,4.611056,4.588945,15.98895,0.2757435,3.105011,0.9041081,,NONE
-1,6.520882,6.489883,4.611052,4.58895,15.98896,0.2757445,3.105011,1.00139,,NONE
-1,6.520879,6.489885,4.61105,4.588952,15.98896,0.2757433,3.105011,1.102526,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105011,1.201281,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,1.30266,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,1.400923,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,1.500865,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105011,1.601635,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105011,1.700804,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,1.80024,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105011,1.90302,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105011,2.002222,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105011,2.107734,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,2.200884,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,2.30051,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,2.400088,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105011,2.505232,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105011,2.60352,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105011,2.704909,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105011,2.800546,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105011,2.900884,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757446,3.105011,3.000191,,ACCELERATE
-1,6.520905,6.489862,4.611048,4.588953,15.98896,0.2757251,3.145514,3.103372,,ACCELERATE
-1,6.520962,6.489805,4.61104,4.588961,15.98897,0.2757052,3.326097,3.202481,,ACCELERATE
-1,6.521031,6.489735,4.611033,4.588968,15.98898,0.2756982,3.641064,3.300696,,ACCELERATE
-1,6.521171,6.489596,4.611009,4.588993,15.98897,0.2864035,4.093644,3.401566,,ACCELERATE
-1,6.521415,6.489352,4.611074,4.588927,15.98893,0.2778271,4.660461,3.501331,,ACCELERATE
-1,6.521537,6.48923,4.611134,4.588868,15.98886,0.2800381,5.364045,3.603418,,ACCELERATE
-1,6.662158,6.356587,4.622852,4.578754,15.9758,0.2789106,6.17037,3.704359,,LEFT_ACCELERATE
-1,7.394814,5.823699,4.732342,4.509052,15.88103,0.2793331,7.058695,3.804417,,LEFT_ACCELERATE
-1,8.715587,5.178919,5.013724,4.344875,15.65944,0.2790952,8.003675,3.904031,,LEFT_ACCELERATE
18.39319,9.706131,4.727761,5.338759,4.085608,15.37816,0.2792186,9.010621,4.003429,,ACCELERATE
17.19828,10.20772,4.399302,5.624098,3.797691,15.09885,0.2791401,10.09315,4.103039,,RIGHT_ACCELERATE
19.35643,10.06984,4.22218,5.821903,3.530001,14.8652,0.2791853,11.21664,4.200074,,RIGHT_ACCELERATE
-1,9.989209,4.0784,5.981849,3.325457,14.6814,0.2791564,12.47494,4.302896,,ACCELERATE
-1,10.2275,3.872552,6.155519,3.145882,14.50507,0.2791646,13.71455,4.400245,,RIGHT_ACCELERATE
-1,9.89088,3.824002,6.263797,2.986251,14.36715,0.279161,15.04288,4.500818,,RIGHT_ACCELERATE
-1,9.893504,3.734553,6.356248,2.882129,14.26636,0.2791621,16.447,4.603898,,ACCELERATE
-1,10.06092,3.595808,6.463168,2.775281,14.15516,0.2791582,17.86769,4.705729,,ACCELERATE
-1,10.08322,3.489341,6.566355,2.662357,14.05112,0.2791595,19.23696,4.801928,,RIGHT_ACCELERATE
-1,9.625248,3.583671,6.590241,2.614398,14.01358,0.2791618,20.67597,4.901241,,RIGHT_ACCELERATE
-1,9.564252,3.598138,6.59559,2.607228,14.00604,0.2791585,22.13387,5.000401,,ACCELERATE
-1,9.590068,3.574304,6.612583,2.590262,13.98854,0.2791581,23.62218,5.100498,,ACCELERATE
-1,9.626018,3.541013,6.636378,2.566501,13.96442,0.2791589,25.10492,5.20006,,ACCELERATE
-1,9.669936,3.499906,6.665936,2.536967,13.93491,0.27916,26.63492,5.302795,,ACCELERATE
-1,9.717296,3.455334,6.698086,2.504835,13.90275,0.2791594,28.14486,5.404188,,ACCELERATE
-1,9.766769,3.408636,6.731824,2.471108,13.86904,0.279159,29.63541,5.504282,,ACCELERATE
-1,9.782043,3.361865,6.765646,2.437295,13.83513,0.2791598,31.07913,5.601231,,ACCELERATE
-1,9.711569,3.311266,6.802259,2.40069,13.79846,0.2791603,32.60117,5.703443,,ACCELERATE
-1,9.552654,3.26211,6.837844,2.365112,13.76308,0.2791601,34.04531,5.800425,,ACCELERATE
19.78331,9.309422,3.227575,6.875971,2.327257,13.72493,0.2791602,35.55657,5.901914,,LEFT_ACCELERATE
18.95421,9.235309,3.147708,6.952309,2.255936,13.64704,0.2791618,37.03471,6.001325,,LEFT_ACCELERATE
17.63883,8.949879,3.246002,7.015055,2.182908,13.52875,0.2791601,38.5191,6.101296,,ACCELERATE
16.18258,8.537205,3.636729,6.997383,2.211937,13.41337,0.2791609,40.01513,6.202029,,LEFT_ACCELERATE
15.34624,8.272202,4.048247,6.919235,2.311033,13.25063,0.2791635,41.51513,6.30339,,LEFT_ACCELERATE
15.38671,8.273923,4.039138,6.856294,2.360697,12.95269,0.2791797,42.92347,6.400234,,LEFT_ACCELERATE
16.2379,8.606766,3.582996,6.898568,2.299769,12.42013,0.2792051,44.33369,6.501811,,LEFT_ACCELERATE
17.76653,9.25877,2.906949,7.122917,2.105201,11.63945,0.2792168,45.60121,6.602231,,LEFT_ACCELERATE
