ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756913,3.105009,0.4131556,,NONE
-1,6.520921,6.489842,4.61108,4.588921,15.98893,0.2757109,3.105009,0.4315274,,NONE
-1,6.520922,6.489844,4.611079,4.588922,15.98893,0.2757159,3.105009,0.437064,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757411,3.10501,0.5025808,,NONE
-1,6.520909,6.489858,4.611071,4.588931,15.98894,0.2757452,3.105009,0.6015483,,NONE
-1,6.5209,6.489864,4.611066,4.588935,15.98894,0.2757449,3.105014,0.7042148,,NONE
-1,6.520895,6.489871,4.611061,4.58894,15.98895,0.2757437,3.105014,0.8044313,,NONE
-1,6.52089,6.489878,4.611056,4.588945,15.98895,0.2757441,3.105014,0.9030767,,NONE
-1,6.520882,6.489885,4.611052,4.58895,15.98896,0.2757448,3.105014,1.000209,,NONE
-1,6.520879,6.489885,4.61105,4.588952,15.98896,0.2757438,3.105014,1.104567,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105014,1.200436,,NONE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757435,3.105016,1.300849,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757428,3.105016,1.404494,,NONE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.275744,3.105016,1.502694,,NONE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757436,3.105016,1.603363,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105016,1.702521,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105016,1.804328,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105016,1.900463,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.003148,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.275744,3.105016,2.101994,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105016,2.202873,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.302787,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.402291,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105016,2.502585,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.602964,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105016,2.703806,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105016,2.800432,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105016,2.902782,,ACCELERATE
-1,6.520879,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105016,3.001348,,ACCELERATE
-1,6.520904,6.489863,4.611048,4.588953,15.98896,0.2757256,3.145255,3.10315,,ACCELERATE
-1,6.520962,6.489805,4.61104,4.588961,15.98897,0.2757063,3.323731,3.201581,,ACCELERATE
-1,6.521033,6.489733,4.611033,4.588968,15.98898,0.2756981,3.653294,3.303754,,ACCELERATE
-1,6.521179,6.489589,4.611005,4.588996,15.98897,0.2855288,4.10245,3.403263,,ACCELERATE
-1,6.521413,6.489355,4.611073,4.588928,15.98893,0.2778437,4.661062,3.501424,,ACCELERATE
-1,6.521539,6.489228,4.611134,4.588868,15.98886,0.280298,5.34399,3.600772,,ACCELERATE
-1,6.521688,6.489079,4.611207,4.588794,15.9888,0.2789018,6.16892,3.704133,,ACCELERATE
-1,6.521904,6.488863,4.611277,4.588725,15.98872,0.2793045,7.077833,3.805345,,ACCELERATE
-1,6.522096,6.488675,4.61136,4.588642,15.98864,0.2790771,8.043964,3.903298,,ACCELERATE
-1,6.522336,6.488433,4.611455,4.588546,15.98854,0.2792319,9.074663,4.000245,,ACCELERATE
-1,6.522604,6.488166,4.611573,4.588428,15.98843,0.2791348,10.22785,4.101974,,ACCELERATE
-1,6.522902,6.487868,4.61171,4.588292,15.98829,0.27918,11.40291,4.200246,,ACCELERATE
-1,6.523247,6.487525,4.611876,4.588126,15.98812,0.2791546,12.68671,4.302864,,ACCELERATE
-1,6.523621,6.487152,4.612062,4.587939,15.98793,0.2791643,14.00119,4.403987,,ACCELERATE
-1,6.52402,6.486753,4.612269,4.587732,15.98773,0.2791579,15.32433,4.50261,,ACCELERATE
-1,6.524453,6.486318,4.612502,4.587499,15.98749,0.2791612,16.67055,4.600349,,ACCELERATE
-1,6.524946,6.485827,4.612771,4.58723,15.98722,0.2791587,18.11103,4.702579,,ACCELERATE
-1,6.525474,6.485301,4.613065,4.586936,15.98693,0.279159,19.56851,4.804018,,ACCELERATE
-1,6.526026,6.484748,4.613379,4.586623,15.98661,0.2791584,21.00034,4.902076,,ACCELERATE
-1,6.526621,6.484158,4.61372,4.586281,15.98627,0.2791575,22.46099,5.000762,,ACCELERATE
-1,6.52726,6.483516,4.614094,4.585907,15.98589,0.2791588,23.96183,5.101531,,ACCELERATE
-1,6.527925,6.48286,4.614487,4.585515,15.9855,0.2791611,25.44415,5.201048,,ACCELERATE
-1,6.528629,6.482151,4.61491,4.585091,15.98508,0.2791599,26.93938,5.301431,,ACCELERATE
-1,6.529375,6.481408,4.615361,4.584641,15.98462,0.2791603,28.44923,5.402795,,ACCELERATE
-1,6.530131,6.480655,4.615821,4.584181,15.98416,0.2791594,29.90686,5.500653,,ACCELERATE
-1,6.530955,6.47983,4.616327,4.583675,15.98364,0.27916,31.47564,5.605972,,ACCELERATE
19.28079,6.517094,6.493082,4.616855,4.583147,15.98312,0.2791601,32.94875,5.704869,,ACCELERATE
17.8225,6.440573,6.616958,4.617386,4.582616,15.9826,0.2791598,34.39915,5.80224,,ACCELERATE
16.34734,6.277675,6.961176,4.617948,4.582054,15.98203,0.2791594,35.8681,5.900858,,ACCELERATE
14.9535,6.056573,7.598559,4.614017,4.585087,15.97817,0.2791604,37.36485,6.001345,,LEFT_ACCELERATE
14.60028,6.048707,7.743431,4.621111,4.576746,15.90185,0.2791638,38.87846,6.103196,,LEFT_ACCELERATE
15.34326,6.344277,7.025922,4.714986,4.491879,15.66173,0.279185,40.31947,6.20151,,LEFT_ACCELERATE
16.03163,6.741861,6.359517,4.912899,4.309161,15.22932,0.2791808,41.73829,6.301306,,LEFT_ACCELERATE
15.53149,6.842023,6.312058,5.111803,4.101734,14.68587,0.2791704,43.16917,6.404108,,LEFT_ACCELERATE
14.18791,6.594518,7.17797,5.18795,4.011578,14.17635,0.2791643,44.52564,6.501401,,ACCELERATE
12.72541,6.215196,-1,5.157808,4.083201,13.67201,0.2791606,45.92764,6.601437,,ACCELERATE
11.57057,5.821733,-1,5.025278,4.295753,13.14114,0.2791601,47.37612,6.705029,,LEFT_ACCELERATE
11.31598,5.63203,-1,4.84212,4.472932,12.53336,0.2791716,48.70632,6.803376,,LEFT_ACCELERATE
11.85589,5.652165,-1,4.721516,4.536942,11.75792,0.2791952,49.93502,6.901217,,LEFT_ACCELERATE
13.3371,5.979695,9.101906,4.735907,4.46746,10.77072,0.2792121,51.01782,7.000017,,LEFT_ACCELERATE
