ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756932,3.10501,0.414572,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757119,3.105009,0.4326239,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757166,3.105009,0.437865,,NONE
-1,6.520916,6.48985,4.611075,4.588926,15.98893,0.2757421,3.105009,0.5057663,,NONE
-1,6.520911,6.489855,4.611072,4.58893,15.98894,0.2757455,3.10501,0.6050301,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757443,3.105011,0.7075351,,ACCELERATE
-1,6.520895,6.489871,4.611061,4.58894,15.98895,0.2757436,3.105011,0.8035756,,ACCELERATE
-1,6.52089,6.489877,4.611056,4.588945,15.98895,0.2757436,3.105011,0.9037271,,ACCELERATE
-1,6.520882,6.489883,4.611052,4.58895,15.98896,0.2757441,3.105011,1.001072,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105011,1.101761,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105011,1.204374,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105011,1.300006,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.275743,3.105011,1.400438,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105011,1.502832,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757434,3.105011,1.603541,,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105011,1.704328,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105011,1.801592,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,1.903862,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105011,2.003555,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105011,2.102029,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,2.202038,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105011,2.30286,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105011,2.404653,,ACCELERATE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105011,2.504458,,ACCELERATE
