ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,5.541817,5.515208,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,NONE
-1,5.541757,5.515268,4.611082,4.588919,15.98893,0.2756913,3.105009,0.4131063,NONE
-1,5.541755,5.515271,4.611079,4.588922,15.98893,0.2757142,3.105009,0.4352105,NONE
-1,5.541753,5.515272,4.611078,4.588923,15.98893,0.2757184,3.105009,0.4399451,NONE
-1,5.54175,5.515276,4.611075,4.588926,15.98893,0.2757418,3.105009,0.5045687,NONE
-1,5.541743,5.515281,4.611071,4.588931,15.98894,0.2757456,3.105011,0.6037164,NONE
-1,5.541737,5.515288,4.611066,4.588935,15.98894,0.2757454,3.105011,0.702222,NONE
-1,5.541733,5.515293,4.611061,4.58894,15.98895,0.2757445,3.105011,0.8028693,NONE
-1,5.541728,5.515299,4.611056,4.588945,15.98895,0.2757442,3.105011,0.9013582,NONE
-1,5.541721,5.515305,4.611052,4.58895,15.98896,0.2757438,3.105011,1.004342,NONE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757439,3.105011,1.101365,NONE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757435,3.105011,1.200896,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757429,3.105011,1.303876,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.275743,3.105011,1.402169,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.275743,3.105012,1.50379,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757431,3.105012,1.602618,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757435,3.105011,1.701989,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757433,3.105011,1.802891,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757447,3.105011,1.90455,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105011,2.00082,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757439,3.105011,2.100251,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757446,3.105011,2.205003,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105011,2.300466,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105011,2.400847,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757442,3.105011,2.502097,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757442,3.105011,2.600843,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757444,3.105011,2.703788,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105011,2.80335,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105011,2.902291,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757441,3.105011,3.003469,ACCELERATE
-1,5.54173,5.515295,4.611048,4.588953,15.98896,0.2757262,3.142402,3.100781,ACCELERATE
-1,5.54176,5.515264,4.611039,4.588962,15.98897,0.275706,3.329928,3.203935,ACCELERATE
-1,5.5418,5.515227,4.611033,4.588968,15.98898,0.2756983,3.648839,3.302641,ACCELERATE
-1,5.541869,5.515158,4.611008,4.588994,15.98897,0.2861327,4.096375,3.402093,ACCELERATE
-1,5.542028,5.514998,4.611071,4.588931,15.98894,0.2775733,4.652399,3.500082,ACCELERATE
-1,5.542125,5.514901,4.611134,4.588868,15.98886,0.2801723,5.353631,3.602043,ACCELERATE
-1,5.542239,5.514787,4.611206,4.588795,15.9888,0.2788898,6.166757,3.703879,ACCELERATE
-1,5.542386,5.514641,4.611275,4.588727,15.98872,0.2794038,7.038465,3.801201,ACCELERATE
-1,5.542533,5.514493,4.611362,4.58864,15.98864,0.2790841,8.049398,3.903824,ACCELERATE
-1,5.54271,5.514317,4.611457,4.588544,15.98854,0.2792195,9.0966,4.002229,ACCELERATE
-1,5.542908,5.514121,4.611574,4.588427,15.98842,0.2791357,10.23281,4.1024,ACCELERATE
-1,5.543133,5.513894,4.611712,4.588289,15.98829,0.2791772,11.42778,4.202273,ACCELERATE
-1,5.543388,5.513641,4.611874,4.588128,15.98812,0.2791529,12.67857,4.302233,ACCELERATE
-1,5.543675,5.513353,4.612062,4.58794,15.98793,0.2791643,13.98988,4.403137,ACCELERATE
-1,5.543983,5.513045,4.612267,4.587734,15.98773,0.2791572,15.31,4.501564,ACCELERATE
-1,5.54434,5.512689,4.612512,4.58749,15.98748,0.279161,16.72311,4.604117,ACCELERATE
-1,5.544706,5.512324,4.612766,4.587235,15.98723,0.2791584,18.0884,4.700996,ACCELERATE
-1,5.545127,5.511905,4.613063,4.586938,15.98693,0.2791587,19.56042,4.803465,ACCELERATE
-1,5.54556,5.511469,4.613374,4.586627,15.98662,0.2791578,20.97357,4.900261,ACCELERATE
-1,5.546044,5.510991,4.613721,4.58628,15.98627,0.2791581,22.46731,5.00119,ACCELERATE
-1,5.546562,5.510472,4.6141,4.585901,15.98589,0.2791592,23.98664,5.103202,ACCELERATE
